:START_ID,:END_ID,Relationship,:TYPE
institution_91748,institution_94243,cooperation,Institution_cooperation_patent
institution_94243,institution_91748,cooperation,Institution_cooperation_patent
institution_91748,institution_163555,cooperation,Institution_cooperation_patent
institution_163555,institution_91748,cooperation,Institution_cooperation_patent
institution_91748,institution_164587,cooperation,Institution_cooperation_patent
institution_164587,institution_91748,cooperation,Institution_cooperation_patent
institution_94243,institution_163555,cooperation,Institution_cooperation_patent
institution_163555,institution_94243,cooperation,Institution_cooperation_patent
institution_94243,institution_164587,cooperation,Institution_cooperation_patent
institution_164587,institution_94243,cooperation,Institution_cooperation_patent
institution_163555,institution_164587,cooperation,Institution_cooperation_patent
institution_164587,institution_163555,cooperation,Institution_cooperation_patent
institution_91748,institution_100568,cooperation,Institution_cooperation_patent
institution_100568,institution_91748,cooperation,Institution_cooperation_patent
institution_21591,institution_91748,cooperation,Institution_cooperation_patent
institution_91748,institution_21591,cooperation,Institution_cooperation_patent
institution_91748,institution_164170,cooperation,Institution_cooperation_patent
institution_164170,institution_91748,cooperation,Institution_cooperation_patent
institution_1606,institution_57113,cooperation,Institution_cooperation_patent
institution_57113,institution_1606,cooperation,Institution_cooperation_patent
institution_76002,institution_91748,cooperation,Institution_cooperation_patent
institution_91748,institution_76002,cooperation,Institution_cooperation_patent
institution_47533,institution_88408,cooperation,Institution_cooperation_patent
institution_88408,institution_47533,cooperation,Institution_cooperation_patent
institution_47533,institution_94259,cooperation,Institution_cooperation_patent
institution_94259,institution_47533,cooperation,Institution_cooperation_patent
institution_91748,institution_94259,cooperation,Institution_cooperation_patent
institution_94259,institution_91748,cooperation,Institution_cooperation_patent
institution_47779,institution_162094,cooperation,Institution_cooperation_patent
institution_162094,institution_47779,cooperation,Institution_cooperation_patent
institution_64881,institution_76984,cooperation,Institution_cooperation_patent
institution_76984,institution_64881,cooperation,Institution_cooperation_patent
institution_64881,institution_162094,cooperation,Institution_cooperation_patent
institution_162094,institution_64881,cooperation,Institution_cooperation_patent
institution_76984,institution_162094,cooperation,Institution_cooperation_patent
institution_162094,institution_76984,cooperation,Institution_cooperation_patent
institution_151216,institution_162094,cooperation,Institution_cooperation_patent
institution_162094,institution_151216,cooperation,Institution_cooperation_patent
